Ident ,DIM
090457HO ,245
090457HO ,273
090457HO ,320
090457HO ,295
090457HO ,179
090461HO ,262
090461HO ,238
090461HO ,78
090462HO ,247
090462HO ,229
090462HO ,261
090462HO ,236
090462HO ,282
090462HO ,331
090462HO ,188
090466HO ,169
090466HO ,287
090467HO ,286
090467HO ,203
090467HO ,250
090467HO ,267
090467HO ,279
090467HO ,265
090471HO ,178
090471HO ,173
090471HO ,215
090471HO ,325
090471HO ,175
090475HO ,332
090475HO ,336
090475HO ,338
090476HO ,106
090479HO ,329
090479HO ,462
090479HO ,335
090479HO ,303
090483HO ,263
090484HO ,464
090484HO ,331
090484HO ,403
090484HO ,289
090484HO ,324
090484HO ,135
090486HO ,303
090486HO ,234
090495HO ,301
090495HO ,243
090497HO ,445
090498HO ,360
090498HO ,382
090498HO ,318
090498HO ,272
090498HO ,380
090506HO ,346
090506HO ,352
090506HO ,254
090506HO ,152
090506HO ,252
090506HO ,215
090506HO ,42
090507HO ,170
090507HO ,281
090507HO ,0
090509HO ,315
090509HO ,252
090509HO ,310
090509HO ,223
090509HO ,287
090509HO ,252
090509HO ,198
090512HO ,270
090512HO ,148
090513HO ,198
090513HO ,223
090513HO ,283
090513HO ,192
090513HO ,248
090513HO ,223
090513HO ,286
090514HO ,339
090514HO ,237
090517HO ,180
090517HO ,97
090519HO ,255
090519HO ,162
090523HO ,264
090523HO ,229
090523HO ,230
090536HO ,230
090537HO ,135
090537HO ,223
090537HO ,204
090537HO ,208
090537HO ,231
090547HO ,277
090547HO ,345
090551HO ,468
090551HO ,377
090551HO ,304
090566HO ,452
090566HO ,106
090569HO ,249
090569HO ,186
090581HO ,252
090581HO ,200
090581HO ,257
090581HO ,276
090584HO ,253
090584HO ,164
090586HO ,225
090586HO ,352
090586HO ,324
090586HO ,361
090586HO ,375
090586HO ,268
090612HO ,401
090612HO ,238
090612HO ,363
090612HO ,306
090612HO ,281
090612HO ,63
090612HO ,242
090614HO ,507
090614HO ,341
090614HO ,393
090621HO ,259
090621HO ,383
090621HO ,249
090621HO ,350
090621HO ,414
090627HO ,182
090631HO ,473
090640HO ,236
090641HO ,290
090641HO ,233
090641HO ,292
090641HO ,194
090644HO ,222
090645HO ,265
090645HO ,285
090645HO ,299
090645HO ,151
090645HO ,235
090645HO ,323
090645HO ,166
090648HO   ,279
090648HO   ,138
090652HO ,76
