Ident,TotLec
110926HO  ,325.1000061
110926HO  ,338.7999878
110926HO  ,188.1000061
110926HO  ,163.3999939
110926HO  ,144.5
110926HO  ,162.3999939
110926HO  ,155.6000061
110926HO  ,157
110926HO  ,148.6000061
110926HO  ,130.5
110926HO  ,119.4000015
110926HO  ,123.9000015
110926HO  ,124.5
110926HO  ,92.5
110926HO  ,208.1999969
110926HO  ,218.8000031
110926HO  ,203.8000031
110926HO  ,260.6000061
110926HO  ,247
110926HO  ,223.6999969
110926HO  ,186.8000031
110926HO  ,168.1000061
110926HO  ,189.8000031
110926HO  ,119.1999969
110926HO  ,90
110926HO  ,108.1999969
110926HO  ,106.5
110926HO  ,93.69999695
110926HO  ,78.69999695
110926HO  ,109
110926HO  ,114.6999969
110926HO  ,59.79999924
110930HO  ,215.8000031
110930HO  ,253.1999969
110930HO  ,0
110930HO  ,116.4000015
110930HO  ,242.1999969
110930HO  ,233.6999969
110930HO  ,220.3999939
110930HO  ,252
110930HO  ,234.8000031
110930HO  ,257
110930HO  ,260.2999878
110930HO  ,274.1000061
110930HO  ,244.3000031
110930HO  ,238.3000031
110930HO  ,236.8000031
110930HO  ,219.8999939
110930HO  ,177.3000031
110930HO  ,158.8999939
110930HO  ,188.6000061
110930HO  ,210.1999969
110930HO  ,152
110930HO  ,148.5
110930HO  ,28.39999962
110930HO  ,262.5
110930HO  ,230.6000061
110930HO  ,236.3000031
110930HO  ,258.1000061
110930HO  ,267.5
110930HO  ,252.8999939
110930HO  ,238
110930HO  ,249.1000061
110930HO  ,150.3000031
110930HO  ,285.7999878
110930HO  ,216.8000031
110930HO  ,111.5999985
110930HO  ,114.1999969
110930HO  ,84.19999695
110930HO  ,115
110930HO  ,94
110930HO  ,59.5
110930HO  ,33.5
110930HO  ,38
110930HO  ,139.1000061
110930HO  ,127.6999969
110930HO  ,232.3000031
110930HO  ,199.8999939
110930HO  ,226.1000061
110930HO  ,265.7000122
110930HO  ,251.1999969
110930HO  ,280.7999878
110930HO  ,278.8999939
110930HO  ,274.7999878
110930HO  ,243
110930HO  ,177.8000031
110930HO  ,133.8999939
110930HO  ,147.1000061
110930HO  ,108.5
110930HO  ,69
110930HO  ,47
110930HO  ,0
110930HO  ,147.8000031
110930HO  ,181.8999939
110930HO  ,205.3999939
110930HO  ,217.6000061
110930HO  ,221.6000061
110930HO  ,237.1999969
110930HO  ,251.3999939
110930HO  ,264.5
110930HO  ,267.1000061
110930HO  ,257.3999939
110930HO  ,238.1999969
110930HO  ,212.6000061
110930HO  ,224.6999969
110930HO  ,229.5
110930HO  ,159.5
110930HO  ,140.1999969
110930HO  ,119.4000015
110930HO  ,128.3999939
110930HO  ,115.0999985
110930HO  ,89.40000153
110930HO  ,70.90000153
110930HO  ,210.1999969
110930HO  ,339.6000061
110930HO  ,245.8000031
110930HO  ,242.3000031
110930HO  ,218.5
110930HO  ,227.8000031
110930HO  ,184.6000061
110930HO  ,196.6999969
110930HO  ,208.1000061
110930HO  ,188.8999939
110930HO  ,163
110930HO  ,167.1999969
110930HO  ,153.5
110930HO  ,140.3000031
110931HO  ,117.5999985
110931HO  ,201.6999969
110931HO  ,178.8999939
110931HO  ,182.8000031
110931HO  ,229.6999969
110931HO  ,248.6000061
110931HO  ,398.6000061
110931HO  ,346.3999939
110931HO  ,191.1999969
110931HO  ,192.3999939
110931HO  ,178.6000061
110931HO  ,144.8999939
110931HO  ,150.6000061
110931HO  ,135
110931HO  ,158
110931HO  ,153
110931HO  ,96.59999847
110931HO  ,11
110931HO  ,202.8999939
110931HO  ,173.6999969
110931HO  ,219.5
110931HO  ,204.1000061
110931HO  ,160.1999969
110931HO  ,191.8999939
110931HO  ,187.3000031
110931HO  ,199.6000061
110931HO  ,210
110931HO  ,227.1000061
110931HO  ,218.8000031
110931HO  ,214
110931HO  ,192.3999939
110931HO  ,141.6999969
110931HO  ,99.09999847
110931HO  ,67.30000305
110931HO  ,69.90000153
110931HO  ,224.8000031
110931HO  ,220.1999969
